Word,Pronunciation (RU),Translation,Example EN,Example RU,Level
whole,вhо́lи,весь,"This variety of fascinating details didn't fall together into an enjoyable, coherent whole.","Это разнообразие увлекательных деталей не упало в приятное, последовательное целое.",A2
wholly,вhоĺlй,полностью,A creature wholly given to brawls and wine.,"Существо, полностью данное драками и вину.",B1
name after,nэmиэ́ftиr,имя после,Modern name after has many applications.,"Современное название после того, как имеет много приложений.",C1
framework,frэmи́воrk,рамки,These ‘three principles of connexion’ compose the framework of principles in hume's account of the association of ideas.,Эти «три принципа связи» составляют основу принципов в рассказе Юма о ассоциации идей.,B2
rich,rи́ч,богатый,A rich dish; rich cream or soup; rich pastry,Богатое блюдо; богатые сливки или суп; богатое тесто,A2
richness,rичńиss,богатство,The concept of richness is interesting.,Концепция богатства интересна.,B2
riches,rич́иs,богатство,The concept of riches is interesting.,Концепция богатства интересна.,B1
debate,dиbэ́tи,дебаты,"After a four-hour debate, the committee voted to table the motion.",После четырехчасовых дебатов комитет проголосовал за натолт ходатайства.,B1
debatable,dиbэt́эblи,спорно,It's debatable whether he is the best candidate for the position.,"Способно, является ли он лучшим кандидатом на эту должность.",B2
layer,lэй́иr,слой,"After the first coat of paint dried, he applied another layer.","После первого слоя краски высушен, он нанес другой слой.",A2
cheer,чии́r,радость,A table loaded with good cheer,"Стол, загруженный хорошим настроением",A2
affect,эffи́ct,оказывать воздействие,The experience affected me deeply.,Опыт глубоко повлиял на меня.,B1
propose,prоṕоsи,предложить,I propose going to see a film.,Я предлагаю посмотреть фильм.,B1
proposal,prоpо́sэl,предложение,Her response was proposal and thoughtful.,Ее ответ был предложением и вдумчивым.,B2
proposition,prоpоśиtио,предложение,“'wiktionary is a good dictionary' is a proposition” is a proposition.,«Wiktionary - это хороший словарь» - это предложение » - это предложение.,C1
literary,lиtиŕэrй,литературный,A literary history,Литературная история,B2
proceed,prоćииd,продолжить,To proceed on a journey.,Идти в путешествие.,B1
salt,sэĺt,соль,Attic salt,Тонкое остроумие,A2
prevent,prиv́иnt,предотвращать,I brush my teeth regularly to prevent them from turning yellow.,"Я регулярно чищу зубы, чтобы они не станут желтыми.",B1
prevention,prиvиńtиоn,профилактика,A fire prevention campaign,Кампания по предотвращению пожаров,C1
preventive,prиvиńtиvи,профилактическое,Her response was preventive and thoughtful.,Ее ответ был профилактическим и вдумчивым.,C1
entire,иntи́rи,весь,We had the entire building to ourselves for the evening.,У нас было все здание для себя на вечер.,B1
entirely,иntиŕиlй,полностью,"It is entirely up to you where we go, as i’ll be happy with anywhere.","Это полностью зависит от вас, куда мы идем, так как я буду доволен кем угодно.",B2
cross out,crоsśоуt,вычеркнуть,Understanding cross out is essential for success.,Понимание пересечения необходимо для успеха.,B2
manufacture,mэnуfэ́ctуr,производство,To manufacture wool into blankets,Чтобы произвести шерсть в одеяла,C1
manufacturer,mэnуfэ́ctуr,производитель,Modern manufacturer has many applications.,Современный производитель имеет много применений.,C1
by heart,bйhи́эrt,наизусть,Understanding by heart is essential for success.,Понимание наизусть необходимо для успеха.,B2
underlie,уndиŕlии,лежать в основе,A stratum of clay underlies the surface gravel.,Площадь глины лежит в основе поверхностного гравия.,B2
pill,pиĺl,таблетка,Jane went on the pill when she left for college.,"Джейн пошла на таблетку, когда уехала в колледж.",A2
turn,tуŕn,повернуть,They say they can turn the parts in two days.,"Они говорят, что могут повернуть части через два дня.",A2
in turn,иntу́rn,по очереди,Modern in turn has many applications.,"Современный, в свою очередь, имеет много применений.",B1
by turns,bйtу́rns,по очереди,Understanding by turns is essential for success.,Понимание по очереди важно для успеха.,B2
voluntary,vоlуńtэrй,добровольный,"If a man accidentally kills another by lopping a tree, it is not voluntary manslaughter.","Если мужчина случайно убивает другого, разбив дерево, это не добровольное непредумышленное убийство.",B2
volunteer,vоlуńtииr,волонтер,To volunteer for doing the dishes,Добровольно заработать посуду,B2
involuntary,иnvоlу́ntэr,непроизвольный,He found himself the involuntary witness in the trial.,Он обнаружил себя невольным свидетелем в суде.,C1
be into,bииńtо,быть в,The be into played an important role in the project.,Будьте играют важную роль в проекте.,B1
back then,bэcḱсиn,тогда,The concept of back then is interesting.,Понятие тогда интересна.,B2
screw,scŕив,винт,The skeleton screw (caprella);  the sand screw,Скелетный винт (капрелла);  Песочный винт,A2
unscrew,уnsćrив,открутить,I'm having some trouble unscrewing the lid of this jar.,У меня возникают проблемы с откручиванием крышки этой банки.,B1
screwdriver,scrивd́rиvи,отвертка,The concept of screwdriver is interesting.,Концепция отвертки интересна.,C1
jacket,jэcḱиt,куртка,Cook the potatoes in their jackets.,Приготовьте картофель в их куртках.,B1
commercial,cоmmиŕcиэl,коммерческий,The solution proved to be very commercial.,Решение оказалось очень коммерческим.,C1
diverse,dиvи́rsи,разнообразный,Idris elba was a diverse hire for the franchise,Идрис Эльба был разнообразным наймом для франшизы,B1
diversify,dиvиŕsиfй,диверсифицировать,The concept of diversify is interesting.,Концепция диверсификации интересна.,B2
diversity,dиvиŕsиtй,разнообразие,Modern diversity has many applications.,Современное разнообразие имеет много применений.,B2
imply,иmṕlй,подразумевать,"When i state that your dog is brown, i am not implying that all dogs are brown","Когда я утверждаю, что твоя собака коричневая, я не подразумеваю, что все собаки коричневые",A2
accountant,эccоуńtэnt,бухгалтер,Modern accountant has many applications.,У современного бухгалтера есть много приложений.,C1
accountable,эccоуńtэbl,подотчетный,Every man is accountable to god for his conduct.,Каждый человек отвечает Богу за Его поведение.,C1
accountability,эccоуńtэbи,подотчетность,The accountability played an important role in the project.,Ответственность сыграла важную роль в проекте.,C1
muscle,mуsćlи,мышца,Muscle consists largely of actin and myosin filaments.,Мышца состоит в основном из актиновых и миозиновых филаментов.,B1
muscular,mуscу́lэr,мускулистый,The muscular played an important role in the project.,Мускулистое сыграло важную роль в проекте.,B2
revive,rиvи́vи,возродить,Her grandmother refused to be revived if she lost consciousness.,"Ее бабушка отказалась быть возрожденной, если она потеряла сознание.",B1
revival,rиvи́vэl,возрождение,The revival of hot pants,Возрождение горячих штанов,B1
overlook,оvиrĺооk,просмотр,Our hotel room overlooks the lake.,Наш гостиничный номер выходит на озеро.,B2
evaluate,иvэlу́эtи,оценивать,It will take several years to evaluate the material gathered in the survey.,"Потребуется несколько лет, чтобы оценить материал, собранной в опросе.",B2
evaluation,иvэlуэ́tиоn,оценка,The evaluation played an important role in the project.,Оценка сыграла важную роль в проекте.,C1
evaluative,иvэlуэ́tиvи,оценочный,The results were surprisingly evaluative.,Результаты были на удивление оценочными.,C1
wrist,вrи́st,запястье,The wrist played an important role in the project.,Запястье сыграло важную роль в проекте.,A2
complete,cоmpĺиtи,полный,He completed the assignment on time.,Он выполнил задание вовремя.,B2
completion,cоmplи́tиоn,завершение,The concept of completion is interesting.,Концепция завершения интересна.,C1
incomplete,иncоmṕlиtи,неполный,He got four incompletes out of five courses last semester.,Он получил четыре неполных из пяти курсов в прошлом семестре.,C1
aim,эи́m,цель,Take time with the aim of your gun.,Найдите время с целью вашего пистолета.,A1
take aim,tэkи́эиm,принять цель,Modern take aim has many applications.,Modern Take Aim имеет много приложений.,B2
aimless,эиmĺиss,бесцельный,An aimless life,Бесцельная жизнь,B1
correlate,cоrrи́lэtи,коррелирует,The team will correlate according to the plan.,Команда будет коррелировать в соответствии с планом.,B2
correlation,cоrrиĺэtио,корреляция,The concept of correlation is interesting.,Концепция корреляции интересна.,C1
civil,cиv́иl,гражданский,She went into civil service because she wanted to help the people.,"Она пошла на государственную службу, потому что хотела помочь людям.",A2
gift,gиf́t,подарок,She had a gift for playing the flute.,У нее был подарок для игры на флейте.,A2
gifted,gиft́иd,одаренный,A gifted artist,Одаренный художник,B1
attribute,эttrи́bуtи,атрибут,His finest attribute is his kindness.,Его лучший атрибут - его доброта.,B2
attribution,эttrиb́уtио,атрибуция,The attribution of the quote is widely regarded as dubious.,Атрибуция цитаты широко считается сомнительной.,C1
recipe,rиcи́pи,рецепт,His new approach is definitely a recipe for success.,"Его новый подход, безусловно, является рецептом успеха.",B1
rebel,rиb́иl,мятежник,The concept of rebel is interesting.,Концепция повстанцев интересна.,A2
rebellious,rиbиlĺиоуs,мятежный,Her response was rebellious and thoughtful.,Ее ответ был мятежным и вдумчивым.,C1
rebellion,rиbиĺlиоn,восстание,The government is doing its best to stop rebellion in the country.,"Правительство делает все возможное, чтобы остановить восстание в стране.",B2
bear,bиэ́r,медведь,That window can be a bear to open.,"Это окно может быть медведем, чтобы открыть.",A2
newborn,nивb́оrn,новорожденный,Understanding newborn is essential for success.,Понимание новорожденного важно для успеха.,B1
advice,эdvи́cи,совет,She was offered various piece of advice on what to do with her new-found wealth.,"Ей предложили различные советы о том, что делать с ее вновь обретенным богатством.",B1
admire,эdmи́rи,восхищаться,He had always admired the work ethos and family values of his friend.,Он всегда восхищался рабочим духом и семейными ценностями своего друга.,B1
admirable,эdmиŕэblи,восхитительно,It's admirable that shelley overcame her handicap and excelled in her work.,"Примечательно, что Шелли преодолела ее гандикап и преуспела в своей работе.",B2
admiration,эdmиrэ́tиоn,восхищение,They looked at the landscape in admiration.,Они смотрели на ландшафт в восхищении.,C1
admirer,эdmи́rиr,поклонник,The concept of admirer is interesting.,Концепция поклонника интересна.,B1
select,sиlи́ct,выбирать,"He looked over the menu, and selected the roast beef.",Он посмотрел через меню и выбрал жаркую говядину.,B1
selection,sиlиćtиоn,выбор,The large number of good candidates made selection difficult.,Большое количество хороших кандидатов затрудняло выбор.,B2
selective,sиlиćtиvи,выборочный,Selective pressure,Селективное давление,B2
stock,stо́ck,запас,The store stocks all kinds of dried vegetables.,В магазине есть все виды сушеных овощей.,A2
amount,эmоу́nt,количество,The amount of atmospheric pollution threatens a health crisis.,Количество атмосферного загрязнения угрожает кризису здоровья.,B1
harvest,hэrv́иst,урожай,Harvest is usually very damp and rainy.,Урожай обычно очень влажный и дождливый.,B1
harvesting,hэrvиśtиng,Сбор урожая,"Harvesting is a stressing, thirsty occupation","Сбор урожая - это стресс, жаждущая оккупация",C1
access,эccи́ss,доступ,An access of territory,Доступ к территории,B1
accessible,эccиsśиblи,доступный,An accessible town or mountain,Доступный город или гора,C1
accessibility,эccиsśиbиl,доступность,The accessibility played an important role in the project.,Доступность сыграла важную роль в проекте.,C1
inaccessible,иnэccи́ssиb,недоступный,Understanding inaccessible is essential for success.,Понимание недоступного необходимо для успеха.,C1
inaccessibility,иnэccи́ssиb,недоступность,Understanding inaccessibility is essential for success.,Понимание недоступности необходимо для успеха.,C1
frame,frэ́mи,рамка,"Now that the frame is complete, we can start on the walls.","Теперь, когда рама завершена, мы можем начать на стенах.",A2
priest,prии́st,священник,The israelite priests were descended from moses' brother aaron.,Израильские священники произошли от брата Моисея Аарона.,B1
fuel,fуи́l,топливо,His books were fuel for the revolution.,Его книги были топливом для революции.,A2
refuel,rиfу́иl,дозаправку,The concept of refuel is interesting.,Концепция заправки интересна.,B1
temporary,tиmpо́rэrй,временный,The temporary played an important role in the project.,Временный сыграл важную роль в проекте.,B2
customary,cуstо́mэrй,обычный,Customary tenants,Обычные арендаторы,B2
relativity,rиlэtи́vиtй,относительность,Modern relativity has many applications.,Современная относительность имеет много применений.,C1
skill,skи́ll,навык,The concept of skill is interesting.,Концепция мастерства интересна.,A2
skilled,skиĺlиd,квалифицированный,It's important to skilled properly in this case.,В этом случае важно квалифицировать должным образом.,B1
skilful,skиĺfуl,умелый,The solution proved to be very skilful.,Решение оказалось очень умелым.,B1
knee,knи́и,колено,"Penny was wearing a miniskirt, so she skinned her exposed knees when she fell.","Пенни была одет в мини -юбку, так что она обрезала свои коленные колен, когда упала.",A2
promise,prоḿиsи,обещать,"If i make a promise, i always stick to it;  he broke his promise","Если я даю обещание, я всегда придерживаюсь его;  Он нарушил свое обещание",B1
promising,prоmи́sиng,многообещающий,A promising young apprentice,Многообещающий молодой ученик,B2
disable,dиsэ́blи,запрещать,Falling off the horse disabled him.,Падение с лошади отключило его.,B1
tide,tиd́и,прилив,The doctor's no good this tide.,Доктор не хорош в этом приливе.,A2
rifle,rиf́lи,винтовка,"She made a mess when she rifled through the stack of papers, looking for the title document.","Она сделала беспорядок, когда она пробежала через стопку документов в поисках титульного документа.",A2
rifleman,rиflи́mэn,стрелок,She was quite the rifleman and could pick off a squirrels with a .22 from across the field with amazing accuracy.,"Она была настоящей стрелком и могла с потрясающей точностью снять белок с 0,22 с поля.",B2
narrow,nэrŕов,узкий,The narrows of new york harbor,Узло Нью -Йоркской гавани,B1
narrowness,nэrrов́nиss,узость,Modern narrowness has many applications.,Современная узость имеет много применений.,C1
repair,rиpэ́иr,ремонт,I took the car to the workshop for repair.,Я взял машину в мастерскую для ремонта.,B1
achieve,эчии́vи,достигать,Show all the spoils by valiant kings achieved.,"Покажите все добычи Valiant Kings, достигнутые.",B1
achievement,эчииv́иmиn,достижение,Finishing the game does not give you a 100% score until you have unlocked all of the achievements.,"Завершение игры не дает вам 100% баллов, пока вы не разблокируете все достижения.",C1
achievable,эчииv́эblи,достижимо,The solution proved to be very achievable.,Решение оказалось очень достижимым.,C1
unachievable,уnэчи́иvэb,недостижимо,The results were surprisingly unachievable.,Результаты были удивительно недостижимыми.,C1
numerous,nуmиŕоуs,многочисленные,There are numerous definitions of the word 'man'.,Есть многочисленные определения слова «человек».,B2
load,lоэ́d,нагрузка,I struggled up the hill with the heavy load in my rucksack.,Я боролся с холмом с тяжелым грузом в своем рюкзаке.,A2
reload,rиlо́эd,перезагрузить,Each reload of the weapon took about 30 seconds.,Каждая перезагрузка оружия заняла около 30 секунд.,B1
overload,оvиrĺоэd,перегрузка,The concept of overload is interesting.,Концепция перегрузки интересна.,B2
download,dовnĺоэd,скачать,The download took longer than i expected.,"Загрузка заняла больше времени, чем я ожидал.",B2
poke out,pоkи́оуt,тыкай,The poke out played an important role in the project.,Прозрать сыграла важную роль в проекте.,B2
glance,glэńcи,взглянуть мельком,Copper glance,Медный взгляд,B1
presume,prиśуmи,предположить,I wouldn't presume to tell him how to do his job.,"Я бы не предположил бы сказать ему, как выполнить свою работу.",B1
presumably,prиsуḿэblй,предположительно,"Presumably, he will attend the opening.","Предположительно, он примет участие в открытии.",C1
presumption,prиsуḿptио,презумпция,The presumption is that an event has taken place.,"Предполагается, что событие произошло.",C1
ancient,эncи́иnt,древний,An ancient city  an ancient forest,Древний город - древний лес,B1
warn,вэŕn,предупреждать,"Don't let me catch you running in the corridor again, i warn you.","Не позволяйте мне снова поймать вас в коридоре, я предупреждаю вас.",A2
warning,вэrńиng,предупреждение,The boss gave him a warning that he would be fired if he did not desist from his behaviour.,"Босс дал ему предупреждение о том, что его уволят, если он не отказался от своего поведения.",B1
sue,sу́и,Сью,To sue a ship,Подать в суд на корабль,A1
come about,cоmиэ́bоуt,Приходите,"We have to ask, how did this come about?","Мы должны спросить, как это произошло?",C1
cooperate,cооpи́rэtи,сотрудничать,We need to cooperate before making a decision.,"Нам нужно сотрудничать, прежде чем принять решение.",B2
cooperation,cооpиŕэtио,сотрудничество,Understanding cooperation is essential for success.,Понимание сотрудничества необходимо для успеха.,C1
cooperative,cооpиŕэtиv,кооператив,"The patient was rarely cooperative, and tended to refuse treatment.",Пациент редко был кооперативным и имел тенденцию отказаться от лечения.,C1
impress,иmpŕиss,впечатление,You impressed me with your command of urdu.,Вы впечатлили меня своей командой урду.,B1
impressive,иmprиśsиvи,впечатляющий,An impressive movie,Впечатляющий фильм,C1
impression,иmprиśsиоn,впечатление,His head made an impression on the pillow.,Его голова произвела впечатление на подушке.,C1
purchase,pуrч́эsи,покупка,They offer a free hamburger with the purchase of a drink.,Они предлагают бесплатный гамбургер с покупкой напитка.,B2
implicate,иmplи́cэtи,подразумевать,The evidence implicates involvement of top management in the scheme.,Данные подразумевают участие высшего руководства в схеме.,B2
implication,иmplиćэtио,импликация,There are serious implications for the environment of such reforms.,Существуют серьезные последствия для окружающей среды таких реформ.,C1
implicated,иmplиćэtиd,причастный,They decided to implicated the situation carefully.,Они решили тщательно привлечь ситуацию.,C1
middle age,mиddĺиэgи,средний возраст,Men put on weight in middle age,Мужчины придают вес в среднем возрасте,C1
old age,оldэ́gи,старость,People of old age are often hard of hearing.,Люди старости часто тяжело слушают.,B1
install,иnst́эll,установить,"After inserting the disk, you need to run the install.",После вставки диска вам нужно запустить установку.,B1
installation,иnstэĺlэtи,установка,Modern installation has many applications.,Современная установка имеет много приложений.,C1
rapid,rэṕиd,стремительный,A rapid stream,Быстрый поток,A2
rapidity,rэpиd́иtй,скорость,The concept of rapidity is interesting.,Концепция быстроты интересна.,B2
please,plиэ́sи,пожалуйста,Her presentation pleased the executives.,Ее презентация порадовала руководителей.,B1
press,prи́ss,нажимать,A flower press,Цветочная пресса,A2
pressure,prиsśуrи,давление,Apply pressure to the wound to stop the bleeding.,"Нажмите давление на рану, чтобы остановить кровотечение.",B2
scream,scrи́эm,крик,We had a real scream of a time at the beach.,У нас был настоящий крик времени на пляже.,B1
forehead,fоrиh́иэd,лоб,Modern forehead has many applications.,Современный лоб имеет много применений.,B2
share,шэŕи,делиться,Upload media from the browser or directly to the file share.,Загрузите носитель из браузера или непосредственно в общий файл.,A2
raw,rэ́в,сырой,Raw cane sugar,Сырой тростник,A1
essence,иssи́ncи,сущность,Essence of jojoba,Суть Жохоба,B1
marine,mэrи́nи,морской пехотинец,He was a marine in world war ii.,Он был морским пехотинцем во Второй мировой войне.,B1
marine 2,mэrи́nи2,морской пехотинец 2,The concept of marine 2 is interesting.,Концепция Marine 2 интересна.,B2
consume,cоnśуmи,потреблять,The power plant consumes 30 tons of coal per hour.,Электростанция потребляет 30 тонн угля в час.,B1
consumer,cоnsу́mиr,потребитель,This new system favours the consumer over the producer.,Эта новая система благоприятствует потребителю над производителем.,B2
consumption,cоnsуḿptио,потребление,The consumption of snails as food is more common in france than in england.,"Потребление улиток как пищи чаще встречается во Франции, чем в Англии.",C1
consumables,cоnsуḿэblи,расходные материалы,Printer consumables such as toner and ink cartridges,"Расходные материалы для принтеров, такие как тонеры и чернильные картриджи",C1
recount,rиcо́уnt,пересчет,The old man recounted the tale of how he caught the big fish.,"Старик рассказал о том, как он поймал большую рыбу.",B1
roar,rоэ́r,рев,The roar of a motorbike,Рев мотоциклета,A2
rice,rиćи,рис,The concept of rice is interesting.,Концепция риса интересна.,A2
branch,brэ́nч,ветвь,"The branch of an antler, a chandelier, or a railway","Ветвь рога, люстры или железной дороги",B1
legacy,lиgэ́cй,наследие,John muir left as his legacy an enduring spirit of respect for the environment.,Джон Мьюр ушел в качестве своего наследия устойчивым духом уважения к окружающей среде.,B1
ongoing,оngо́иng,непрерывный,They decided to ongoing the situation carefully.,Они решили тщательно продолжить ситуацию.,B1
hole,hоĺи,дыра,There’s a hole in my shoe.  her stocking has a hole in it.,В моей обуви есть дыра.  У ее чулка есть дыра в нем.,A2
keyhole,kийh́оlи,замочная скважина,Keyhole plasma,Плазма замочной скважины,B1
pothole,pосо́lи,выбоина,The pothole played an important role in the project.,Выбоина сыграла важную роль в проекте.,B1
stock up on,stоcḱуpоn,запастись,Modern stock up on has many applications.,Современный запасы на нем много приложений.,C1
store up on,stоrи́уpоn,хранить,The store up on played an important role in the project.,Магазин играл важную роль в проекте.,C1
kick,kиćk,пинать,A kick to the knee.,Удар по колену.,A2
precise,prиćиsи,точный,We need to precise before making a decision.,"Нам нужно точно, прежде чем принимать решение.",B1
precision,prиcи́sиоn,точность,Modern precision has many applications.,Современная точность имеет много применений.,B2
imprecise,иmprи́cиsи,Неточный,We need to imprecise before making a decision.,"Нам нужно неточить, прежде чем принять решение.",B2
imprecision,иmprиćиsио,неточность,The imprecision played an important role in the project.,Неточность сыграла важную роль в проекте.,C1
disorder,dиsоŕdиr,расстройство,After playing the children left the room in disorder.,После игры детей покинули комнату в беспорядке.,B2
disordered,dиsоrd́иrиd,беспорядочный,The team will disordered according to the plan.,Команда будет беспорядоваться в соответствии с планом.,C1
blow over,blово́vиr,взорвать,"They huddled, waiting for the storm to blow over.","Они сгрудились, ожидая взорвания шторма.",B2
adult,эdу́lt,взрослый,"An adult human, animal, or plant","Взрослый человек, животное или растение",A2
adulthood,эdуlс́ооd,взрослый,The adulthood played an important role in the project.,Взрослая жизнь сыграла важную роль в проекте.,B2
heel,hии́l,каблук,He drove the heel of his hand into the man's nose.,Он поехал в пятку своей руки в нос мужчины.,A2
close in on,clоsи́иnоn,близко,The close in on played an important role in the project.,Близко играл важную роль в проекте.,C1
countertop,cоуntи́rtоp,столешница,Modern countertop has many applications.,Современная столешница имеет много приложений.,C1
jet,jи́t,самолет,Farmers may either dip or jet sheep with chemicals.,"Фермеры могут либо окунуть, либо струйные овцы с химическими веществами.",A1
cost,cоśt,расходы,It will cost you a lot of money to take a trip around the world.,"Это будет стоить вам много денег, чтобы совершить поездку по всему миру.",A2
costly,cоst́lй,дорого,A costly activity,Дорогостоящая деятельность,B1
order,оrd́иr,заказ,The house is in order; the machinery is out of order.,Дом в порядке; Механизм вышел из строя.,A2
reorder,rиоŕdиr,переупорядочить,Manual reorders of stock,Ручные перерасти запаса,B1
row,rо́в,ряд,Understanding row is essential for success.,Понимание ряда необходимо для успеха.,A1
expand,иксṕэnd,расширять,You can expand this compact umbrella to cover a large table.,"Вы можете расширить этот компактный зонтик, чтобы покрыть большой стол.",B1
expansion,иксpэńsиоn,расширение,The expansion of metals and plastics in response to heat is well understood.,Расширение металлов и пластиков в ответ на тепло хорошо понято.,B2
chain,чэи́n,цепь,He wore a gold chain around the neck.,У него была золотая цепочка на шее.,A2
unchained,уnчэи́nиd,неучтено,It's important to unchained properly in this case.,В этом случае важно должным образом не оценивать.,B2
ambassador,эmbэsśэdоr,посол,"As front hall porter, you are an ambassador for the hotel.","Как Front Hall Porter, вы являетесь послом отеля.",C1
go for,gоf́оr,идти за,I'll go for the world record.,Я пойду на мировой рекорд.,B1
imagine,иmэǵиnи,представлять себе,Try to imagine a pink elephant.,Попробуйте представить розового слона.,B1
imagination,иmэgиńэtио,воображение,Imagination is one of the most advanced human faculties.,Воображение является одним из самых продвинутых человеческих способностей.,C1
imaginary,иmэgи́nэrй,воображаемый,Santa claus is imaginary.,Санта -Клаус воображаемый.,B2
ghost,ghо́st,призрак,Everyone believed that the ghost of an old lady haunted the crypt.,"Все верили, что призрак старушки преследовал склеп.",A2
ghostly,ghоśtlй,призрачный,The ghostly moaning was heard from upstairs.,Призрачные стоны были услышаны наверху.,B1
mild,mиĺd,мягкий,A mild man,Мягкий человек,A2
hunger,hуnǵиr,голод,I have a hunger to win.,"У меня есть голод, чтобы победить.",B1
hungry,hуnǵrй,голодный,My kids go to bed hungry every night because i haven't got any money.,"Мои дети ложатся спать голодными каждую ночь, потому что у меня нет денег.",B1
check on,чиcḱоn,проверить,I sent tom to check on the northside's branch's progress.,"Я послал Тома, чтобы проверить прогресс филиала Северной стороны.",B2
headline,hиэdĺиnи,заголовок,"The headline on today's newspaper reads ""john doe wins wood-splitting competition.""",Заголовок в сегодняшней газете гласит: «Джон Доу выигрывает соревнование по разжатию древесину».,B2
heading,hиэd́иng,заголовок,They decided to heading the situation carefully.,Они решили тщательно возглавить ситуацию.,B1
folk,fоĺk,народ,"Young folk, old folk, everybody come, / to our little sunday school and have a lot of fun.","Молодые люди, старые люди, все приходят, / в нашу маленькую воскресную школу и очень весело.",A2
team,tиэ́m,команда,The it manager leads a team of three software developers.,ИТ -менеджер возглавляет команду из трех разработчиков программного обеспечения.,A2
slave,slэ́vи,раб,"A slave to passion, to strong drink, or to ambition","Раб страсти, сильного напитка или амбиций",A2
slaver,slэv́иr,пролавр,The concept of slaver is interesting.,Концепция славея интересна.,B1
slavery,slэv́иrй,рабство,The slavery played an important role in the project.,Рабство сыграло важную роль в проекте.,B1
enslave,иnsĺэvи,порабощать,The migrants will be enslaved once they're no longer useful to the oligarchs; make no mistake about that.,"Мигранты будут порабощены, как только они больше не будут полезны для олигархов; Не заблуждайтесь в этом.",B1
giant,gиэ́nt,гигант,The retail giant is set to acquire two more struggling high-street chains.,Розничный гигант собирается приобрести еще две борющиеся на высоких улицах.,A2
motion,mоtи́оn,движение,The motion to amend is now open for discussion.,Движение о изменении теперь открыто для обсуждения.,B1
motionless,mоtиоńlиss,неподвижный,This approach is quite motionless for our needs.,Этот подход довольно неподвижен для наших нужд.,C1
offensive,оffиńsиvи,оскорбительный,The marines today launched a major offensive.,Морские пехотинцы сегодня начали крупное наступление.,B2
take offence,tэkиоf́fиnc,обидеть,The concept of take offence is interesting.,Концепция обидчика интересна.,C1
bin,bи́n,бин,A corn bin; a wine bin; a coal bin,Кукурузная мусорная корзина; винная мусорная корзина; Угольная корзина,A1
bother,bос́иr,беспокоить,There was a bit of bother at the hairdresser's when they couldn't find my appointment in the book.,"У парикмахера было немного беспокоиться, когда они не могли найти мою встречу в книге.",B1
seal,sиэ́l,тюлень,The seals in the harbor looked better than they smelled.,"Печать в гавани выглядели лучше, чем они пахли.",A2
seal off,sиэĺоff,запечатать,Modern seal off has many applications.,Modern Seal Off имеет много применений.,B2
no matter,nоmэt́tиr,независимо от того,"""did you fail your exam?"" ""yes, but no matter. i'll just study harder next time.""","""Вы провалили экзамен?"" «Да, но несмотря ни на что. Я просто буду усерднее в следующий раз».",B2
downtown,dовnt́овn,центр города,John walked every day to his downtown job.,Джон каждый день ходил на работу в центр города.,B2
seem,sии́m,казаться,He seems to be ill.   her eyes seem blue.   it seems like it is going to rain later.   how did she seem to you?,"Кажется, он болен.   Ее глаза кажутся синими.   Кажется, что позже будет дождь.   Как она тебе показалась?",A2
seemingly,sииmи́nglй,По -видимому,She handled the situation seemingly.,"Она справилась с ситуацией, казалось бы,.",B2
shout,шоу́t,кричать,"Next up the new single from beyoncé, but first a shout to barry bloggins and his wife belinda...","Затем новый сингл от Beyoncé, но сначала крик Барри Блоггинс и его жене Белинда ...",A2
emergency,иmиrǵиncй,чрезвычайная ситуация,Cardiac arrest is an emergency and if you find someone in cardiac arrest you should call 999 immediately.,"Остановка сердца - это чрезвычайная ситуация, и если вы найдете кого -то в остановке сердца, вам следует немедленно позвонить в 999.",B2
mall,mэĺl,торговый центр,Modern mall has many applications.,У современного торгового центра есть много приложений.,A2
lean against,lиэnэǵэиns,наклоняться против,The lean against played an important role in the project.,Lean против играл важную роль в проекте.,C1
lean on,lиэńоn,опираться на,Understanding lean on is essential for success.,Понимание наклонения необходимо для успеха.,B1
carbon,cэrb́оn,углерод,A methane molecule is made up of a single carbon with four hydrogens.,Молекула метана состоит из одного углерода с четырьмя гидрогинами.,B1
faith,fэи́с,вера,I have faith in the goodness of my fellow man.,Я верю в доброту моего собратья.,A2
vary,vэŕй,отличаться,You should vary your diet. eating just bread will do you harm in the end.,Вы должны изменить свою диету. Еда просто хлеб принесет вам вред в конце концов.,A2
variable,vэrиэ́blи,переменная,There are several variables to consider here.,Здесь нужно рассмотреть несколько переменных.,B2
invariable,иnvэrи́эblи,неизбежно,The french adjective marron (brown) is invariable: it does not take the usual s in the plural.,Французский прилагательный Маррон (Браун) неизбежен: он не занимает обычные S во множественном числе.,C1
variation,vэrиэ́tиоn,вариация,All of his soups are variations on a single recipe.,Все его супы являются вариациями по одному рецепту.,B2
plug,plу́g,затыкать,I pushed the plug back into the electrical socket and the lamp began to glow again.,"Я вытащил пробку обратно в электрический розетка, и лампа снова начала светиться.",A2
disease,dиsи́эsи,болезнь,The tomato plants had some kind of disease that left their leaves splotchy and fruit withered.,"У растений томата была какая -то болезнь, которая оставила их листья пятнистыми и засохлыми фруктами.",B1
chair,чэи́r,стул,"All i need to weather a snowstorm is hot coffee, a warm fire, a good book and a comfortable chair.","Все, что мне нужно, чтобы выдержать метель, - это горячий кофе, теплый огонь, хорошая книга и удобное кресло.",A2
